report_date,region,area_cluster,station_id,total_delivery_vol,delivery_buyer
2024-09-01,NCR,NCR1 Metro Manila West,9,10590,8366
2024-09-01,NCR,NCR1 Metro Manila West,11,6517,5354
2024-09-01,NCR,NCR1 Metro Manila West,13,9747,7872
2024-09-01,NCR,NCR1 Metro Manila West,434,10241,8767
2024-09-01,NCR,NCR1 Metro Manila West,1707,11866,9886
2024-09-01,NCR,NCR1 Metro Manila West,1770,8210,6721
2024-09-01,NCR,NCR1 Metro Manila West,2180,7970,6310
2024-09-01,NCR,NCR1 Metro Manila West,2266,15106,12257
2024-09-01,NCR,NCR1 Metro Manila West,3062,7679,6345
2024-09-01,NCR,NCR2 Metro Manila East,7,10836,9007
2024-09-01,NCR,NCR2 Metro Manila East,18,12957,10508
2024-09-01,NCR,NCR2 Metro Manila East,19,7288,5971
2024-09-01,NCR,NCR2 Metro Manila East,1232,11756,9532
2024-09-01,NCR,NCR2 Metro Manila East,1242,12675,9939
2024-09-01,NCR,NCR2 Metro Manila East,1365,11837,9874
2024-09-01,NCR,NCR2 Metro Manila East,2201,11465,9611
2024-09-01,NCR,NCR2 Metro Manila East,2384,11433,9344
2024-09-01,NCR,NCR2 Metro Manila East,2647,7400,6053
2024-09-01,NCR,NCR2 Metro Manila East,2680,8653,7332
2024-09-01,NOL,NOL5 Bulacan,903,16207,13203
2024-09-01,SOL,SOL1 Laguna/Tanay,20,10397,8509
2024-09-01,SOL,SOL2 Cavite,273,7237,5839
2024-09-01,SOL,SOL2 Cavite,1476,9527,7630
2024-09-01,SOL,SOL2 Cavite,1705,14489,11720
2024-09-01,SOL,SOL2 Cavite,2268,8931,7194
2024-09-02,NCR,NCR1 Metro Manila West,9,6660,5687
2024-09-02,NCR,NCR1 Metro Manila West,11,3652,3052
2024-09-02,NCR,NCR1 Metro Manila West,13,4852,4347
2024-09-02,NCR,NCR1 Metro Manila West,434,8543,7407
2024-09-02,NCR,NCR1 Metro Manila West,1707,7482,6567
2024-09-02,NCR,NCR1 Metro Manila West,1770,2530,2228
2024-09-02,NCR,NCR1 Metro Manila West,2180,4334,3817
2024-09-02,NCR,NCR1 Metro Manila West,2266,8459,7550
2024-09-02,NCR,NCR1 Metro Manila West,3062,2043,1816
2024-09-02,NCR,NCR2 Metro Manila East,7,8050,6698
2024-09-02,NCR,NCR2 Metro Manila East,18,5544,4950
2024-09-02,NCR,NCR2 Metro Manila East,19,533,512
2024-09-02,NCR,NCR2 Metro Manila East,1232,495,466
2024-09-02,NCR,NCR2 Metro Manila East,1242,6088,5156
2024-09-02,NCR,NCR2 Metro Manila East,1365,2050,1869
2024-09-02,NCR,NCR2 Metro Manila East,2201,4494,3910
2024-09-02,NCR,NCR2 Metro Manila East,2384,607,554
2024-09-02,NCR,NCR2 Metro Manila East,2647,1496,1393
2024-09-02,NCR,NCR2 Metro Manila East,2680,366,324
2024-09-02,NOL,NOL5 Bulacan,903,7453,6717
2024-09-02,SOL,SOL1 Laguna/Tanay,20,5746,5076
2024-09-02,SOL,SOL2 Cavite,273,5612,4631
2024-09-02,SOL,SOL2 Cavite,1476,6696,5716
2024-09-02,SOL,SOL2 Cavite,1705,9045,7854
2024-09-02,SOL,SOL2 Cavite,2268,4094,3685
2024-09-03,NCR,NCR1 Metro Manila West,9,13538,10816
2024-09-03,NCR,NCR1 Metro Manila West,11,8342,7031
2024-09-03,NCR,NCR1 Metro Manila West,13,9209,7833
2024-09-03,NCR,NCR1 Metro Manila West,434,18329,15169
2024-09-03,NCR,NCR1 Metro Manila West,1707,12552,10674
2024-09-03,NCR,NCR1 Metro Manila West,1770,12153,9539
2024-09-03,NCR,NCR1 Metro Manila West,2180,7231,6089
2024-09-03,NCR,NCR1 Metro Manila West,2266,14626,12342
2024-09-03,NCR,NCR1 Metro Manila West,3062,16036,12620
2024-09-03,NCR,NCR2 Metro Manila East,7,17243,14060
2024-09-03,NCR,NCR2 Metro Manila East,18,15732,12960
2024-09-03,NCR,NCR2 Metro Manila East,19,10538,8638
2024-09-03,NCR,NCR2 Metro Manila East,1232,16023,12949
2024-09-03,NCR,NCR2 Metro Manila East,1242,16516,13381
2024-09-03,NCR,NCR2 Metro Manila East,1365,14607,12285
2024-09-03,NCR,NCR2 Metro Manila East,2201,13283,11148
2024-09-03,NCR,NCR2 Metro Manila East,2384,15301,12542
2024-09-03,NCR,NCR2 Metro Manila East,2647,9798,8065
2024-09-03,NCR,NCR2 Metro Manila East,2680,15084,12093
2024-09-03,NOL,NOL5 Bulacan,903,15284,12956
2024-09-03,SOL,SOL1 Laguna/Tanay,20,11674,9716
2024-09-03,SOL,SOL2 Cavite,273,7131,5898
2024-09-03,SOL,SOL2 Cavite,1476,8791,7260
2024-09-03,SOL,SOL2 Cavite,1705,13210,11119
2024-09-03,SOL,SOL2 Cavite,2268,9628,7942
2024-09-04,NCR,NCR1 Metro Manila West,9,13131,10528
2024-09-04,NCR,NCR1 Metro Manila West,11,7966,6711
