report_date,region,area_cluster,station_id,rr_pu_vol,rr_users
2024-09-01,NCR,NCR1 Metro Manila West,9,37,34
2024-09-01,NCR,NCR1 Metro Manila West,11,40,37
2024-09-01,NCR,NCR1 Metro Manila West,13,52,45
2024-09-01,NCR,NCR1 Metro Manila West,434,64,54
2024-09-01,NCR,NCR1 Metro Manila West,1707,48,39
2024-09-01,NCR,NCR1 Metro Manila West,1770,23,19
2024-09-01,NCR,NCR1 Metro Manila West,2180,26,22
2024-09-01,NCR,NCR1 Metro Manila West,2266,54,42
2024-09-01,NCR,NCR1 Metro Manila West,3062,37,30
2024-09-01,NCR,NCR2 Metro Manila East,7,55,49
2024-09-01,NCR,NCR2 Metro Manila East,18,59,51
2024-09-01,NCR,NCR2 Metro Manila East,19,25,23
2024-09-01,NCR,NCR2 Metro Manila East,1232,29,24
2024-09-01,NCR,NCR2 Metro Manila East,1242,31,28
2024-09-01,NCR,NCR2 Metro Manila East,1365,53,47
2024-09-01,NCR,NCR2 Metro Manila East,2201,69,56
2024-09-01,NCR,NCR2 Metro Manila East,2384,43,37
2024-09-01,NCR,NCR2 Metro Manila East,2647,31,28
2024-09-01,NCR,NCR2 Metro Manila East,2680,42,38
2024-09-01,NOL,NOL5 Bulacan,903,54,49
2024-09-01,SOL,SOL1 Laguna/Tanay,20,47,41
2024-09-01,SOL,SOL2 Cavite,273,22,18
2024-09-01,SOL,SOL2 Cavite,1476,38,36
2024-09-01,SOL,SOL2 Cavite,1705,51,46
2024-09-01,SOL,SOL2 Cavite,2268,53,44
2024-09-02,NCR,NCR1 Metro Manila West,9,27,24
2024-09-02,NCR,NCR1 Metro Manila West,11,36,34
2024-09-02,NCR,NCR1 Metro Manila West,13,32,28
2024-09-02,NCR,NCR1 Metro Manila West,434,61,48
2024-09-02,NCR,NCR1 Metro Manila West,1707,44,34
2024-09-02,NCR,NCR1 Metro Manila West,1770,0,0
2024-09-02,NCR,NCR1 Metro Manila West,2180,45,37
2024-09-02,NCR,NCR1 Metro Manila West,2266,60,55
2024-09-02,NCR,NCR1 Metro Manila West,3062,10,9
2024-09-02,NCR,NCR2 Metro Manila East,7,66,52
2024-09-02,NCR,NCR2 Metro Manila East,18,43,31
2024-09-02,NCR,NCR2 Metro Manila East,19,0,0
2024-09-02,NCR,NCR2 Metro Manila East,1242,0,0
2024-09-02,NCR,NCR2 Metro Manila East,1365,15,10
2024-09-02,NCR,NCR2 Metro Manila East,2201,34,32
2024-09-02,NCR,NCR2 Metro Manila East,2384,0,0
2024-09-02,NCR,NCR2 Metro Manila East,2680,0,0
2024-09-02,NOL,NOL5 Bulacan,903,64,57
2024-09-02,SOL,SOL1 Laguna/Tanay,20,50,40
2024-09-02,SOL,SOL2 Cavite,273,39,36
2024-09-02,SOL,SOL2 Cavite,1476,32,26
2024-09-02,SOL,SOL2 Cavite,1705,50,42
2024-09-02,SOL,SOL2 Cavite,2268,50,44
